[Information] 10.06.2026 00:18:46 | Пользователь 1 зарегистрировался
[Information] 10.06.2026 00:19:35 | Пользователь 1 вышел из аккаунта
[Information] 10.06.2026 00:19:46 | Пользователь 1 выполнил вход в аккаунт
[Information] 10.06.2026 00:22:20 | Пользователь 1 создал документ 1 в категории 4
[Information] 10.06.2026 00:22:57 | Пользователь 1 создал новую версию 1 в документе 1
[Information] 10.06.2026 00:23:34 | Пользователь 1 создал новую версию 2 в документе 1
[Information] 10.06.2026 00:23:50 | Пользователь 1 переименовал версию 2 в документе 1
[Information] 10.06.2026 00:24:28 | Пользователь 1 создал новую версию 3 в документе 1
[Warning] 10.06.2026 00:25:19 | Пользователь 1: Документ с 2 не найден (GET /api/Documents/2)
[Warning] 10.06.2026 00:25:19 | Пользователь 1: Документ с 2 не найден (GET /api/Documents/2)
[Warning] 10.06.2026 00:25:37 | Пользователь 1: Пользователь с айди 2 не найден (GET /api/Users/2)
[Warning] 10.06.2026 00:25:37 | Пользователь 1: Пользователь с айди 2 не найден (GET /api/Users/2)
